UPR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4521;Rolf Thomsen;T_UPE_Rolf_Thomsen;5;1953;1970;aircraft_testing;large_taskforce_tactics;carrier_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4522;Hubert Schmundt;T_UPE_Hubert_Schmundt;5;1936;1948;naval_engineering;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4523;Friedrich Traugott Schmidt;T_UPE_Friedrich_Traugott_Schmidt;6;1948;1964;small_taskforce_tactics;naval_training;seamanship;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4524;Wolfgang Wegener;T_UPE_Wolfgang_Wegener;6;1926;1941;large_taskforce_tactics;small_taskforce_tactics;centralized_execution;naval_training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4525;Victor Oehrn;T_UPE_Victor_Oehrn;7;1953;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4526;Werner Fürbringer;T_UPE_Werner_Furbringer;7;1933;1948;centralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4527;Viktor Schütze;T_UPE_Viktor_Schutze;7;1948;1970;naval_artillery;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4528;Max Valentiner;T_UPE_Max_Valentiner;8;1920;1943;decentralized_execution;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4529;Josef Jacobs;T_UPE_Josef_Jacobs;4;1936;1948;fighter_tactics;centralized_execution;piloting;mechanics;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4530;Wolfgang Weese;T_UPE_Wolfgang_Weese;5;1936;1955;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4531;Gottlob Müller;T_UPE_Gottlob_Muller;5;1936;1950;fighter_tactics;bomber_tactics;centralized_execution;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4532;Ullrich Diesing;T_UPE_Ullrich_Diesing;7;1949;1970;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4533;Günther Lützow;T_UPE_Gunther_Lutzow;7;1948;1970;fighter_tactics;decentralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4534;Kurt Kuhlmey;T_UPE_Kurt_Kuhlmey;7;1950;1970;fighter_tactics;bomber_tactics;centralized_execution;decentralized_execution;piloting;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4535;Johannes Haarde;T_UPE_Johannes_Haarde;5;1934;1948;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4536;Kurt von Tippelskirch;T_UPE_Kurt_vonTippelskirch;6;1935;1946;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4537;Fritz Lindemann;T_UPE_Fritz_Lindemann;6;1936;1959;small_unit_tactics;large_unit_tactics;centralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4538;Hans-Georg Lueder;T_UPE_Hans-Georg_Lueder;7;1948;1970;small_unit_tactics;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4539;Hellmuth Stieff;T_UPE_Hellmuth_Stieff;8;1946;1967;centralized_execution;decentralized_execution;combined_arms_focus;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4540;Jagdverband Ostasien;T_UPE_Jagdverband;4;1941;1970;airborne_training;marine_training;small_unit_tactics;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4541;August Krakau;T_UPE_August_Krakau;5;1936;1960;mountain_training;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
