AST;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
516;Clyde Engineering;T_AST_Clyde_Engineering;6;1898;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
517;Ford Motors Australasia;T503;6;1928;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
518;Amalgamated Wireless Australasia;T_AST_AWA_Ltd;5;1909;1970;mechanics;electronics;training;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
519;William A.S. Butement;T_AST_WAS_Butement;6;1939;1970;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520;Commonwealth Oil Refineries;AST_COR;6;1920;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
521;Broken Hill Propriety Ltd. ;T504;6;1885;1970;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
522;Eric Nave;T_AST_Eric_Nave;5;1939;1970;mathematics;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
523;University of Melbourne;T_AST_UnivMelbourne;5;1853;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
524;Alexander Aitken;T9010;7;1936;1967;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525;Atomic Research Council;Kaiserreich arc;5;1944;1970;nuclear_physics;nuclear_engineering;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
526;Mark Oliphant;T514;6;1941;1970;nuclear_physics;nuclear_engineering;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
527;Richard Lane-Poole;T_AST_Richard_HO_Lane-Poole;5;1936;1944;naval_engineering;large_taskforce_tactics;naval_training;seamanship;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
528;Claud Barry;T_AST_Claud_Barrington_Barry;5;1937;1948;centralized_execution;decentralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
529;Guy C.C. Royle;T507;6;1934;1947;large_taskforce_tactics;carrier_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
530;Frank Getting;T_AST_Frank_Edmund_Getting;6;1948;1965;naval_artillery;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
531;John Gregory Crace;Kaiserreich jgcrace;6;1936;1946;naval_artillery;large_taskforce_tactics;small_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
532;Victor Smith;T_AST_Victor_Alfred_Trumper_Smith;6;1947;1970;aircraft_testing;large_taskforce_tactics;small_taskforce_tactics;carrier_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
533;John Augustine Collins;T508;7;1944;1964;large_taskforce_tactics;centralized_execution;naval_training;seamanship;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
534;Richard Williams;T510;5;1922;1942;fighter_tactics;bomber_tactics;centralized_execution;decentralized_execution;piloting;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
535;William Bostock;T512;6;1942;1950;fighter_tactics;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
536;Roderick Carr;T9004;6;1936;1956;bomber_tactics;centralized_execution;piloting;combined_arms_focus;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
537;Keith Park;Kaiserreich kpark;7;1936;1951;fighter_tactics;decentralized_execution;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
538;Allan Walters;T_AST_Allan_Leslie_Walters;7;1951;1970;fighter_tactics;decentralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
539;Frederick Scherger;Kaiserreich fscherger;7;1950;1969;fighter_tactics;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
540;Donald Bennett;T_AST_Donald_CT_Bennett;8;1951;1970;bomber_tactics;centralized_execution;piloting;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
541;Clive Steele;T_AST_Clive_Selwyn_Steele;4;1940;1952;centralized_execution;chemistry;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
542;Mervyn Brogan;T_AST_Mervyn_Francis_Brogan;6;1952;1970;small_unit_tactics;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
543;Robert Nimmo;T_AST_Robert_Harold_Nimmo;5;1936;1951;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
544;Vernon Sturdee;T_AST_Vernon_Sturdee;5;1935;1951;small_unit_tactics;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
545;Frank Berryman;Kaiserreich fberryman;5;1936;1951;small_unit_tactics;decentralized_execution;infantry_focus;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
546;Bernard Freyberg;T9000;7;1934;1951;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
547;John Lavarack;T506;6;1933;1946;small_unit_tactics;decentralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
548;Brudenell White;T_AST_Cyril_Brudenell_White;7;1920;1943;large_unit_tactics;centralized_execution;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
549;George Alan Vasey;T_AST_George_Alan_Vasey;6;1943;1953;small_unit_tactics;large_unit_tactics;infantry_focus;combined_arms_focus;maneuver_tactics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
550;John Hackett;T_AST_John_Winthrop_Hackett;7;1951;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
551;John Wilton;T_AST_John_Gordon_Noel_Wilton;7;1953;1970;small_unit_tactics;large_unit_tactics;infantry_focus;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
552;Paratroop Training Unit;T_AST_Paratroop_Training_Unit;4;1942;1970;airborne_training;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
553;Amphibious Training Centre;T_AST_Amphibious_Training_Centre;4;1942;1970;marine_training;small_unit_tactics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
