IRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4032;Thomas McKenna;T_IRE_Thomas_McKenna;4;1953;1970;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4015;Irish Air Corps;T4005;3;1930;1970;bomber_tactics;centralized_execution;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4016;James Fitzmaurice;KR James Fitzmaurice;5;1930;1963;fighter_tactics;bomber_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4026;Paddy Finucane;T_IRE_Brendan_Finucane;5;1942;1970;fighter_tactics;decentralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4030;Annie 'Nancy' Corrigan;T_IRE_Annie_Nancy_Corrigan;6;1941;1970;piloting;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4017;Curragh Military College;T4003;4;1930;1970;small_unit_tactics;decentralized_execution;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4018;Daniel McKenna;T_IRE_Daniel_McKenna;4;1936;1949;large_unit_tactics;centralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4019;Tom Barry;KR Tom Barry;5;1930;1946;small_unit_tactics;individual_courage;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4033;Hugo MacNeill;T_IRE_Hugh_Hyacinth_MacNeill;5;1946;1965;small_unit_tactics;decentralized_execution;individual_courage;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4029;Michael Costello;T_IRE_Michael_Joe_Costello;5;1949;1970;large_unit_tactics;centralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
