KOR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13523;Kyongseong Precision;TKORKia;4;1944;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13524;Hwasu-dong Electric Factory;TJAPToshiba;3;1930;1948;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13525;Anam Industrial Co.;TJAPToshiba;3;1948;1970;mathematics;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13526;Korean Hydroelectric Power Company ;T_KOR_KHPC;4;1930;1970;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13527;Heungnam Chemical Plants;TKORHeungnam;4;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13528;Chongjin Iron and Steel Works;T_KOR_Chongjin_Works;4;1930;1970;mechanics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13529;Hyundai Civil Works;TKORHyundai;5;1945;1970;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13530;Wonsan Oil Refinery;TJAPNippon;5;1930;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13531;Lucky Chemical;TKORLG;5;1945;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13532;Gyeonggi Technical School;T9700;3;1935;1970;mathematics;mechanics;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13533;Seoul University;T13508;3;1930;1970;mathematics;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13534;Do Sangrok;T_KOR_Do_Sangrok;5;1930;1970;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13517;Jinhae High Seamans School;TKORJinhae;3;1930;1970;naval_engineering;mechanics;management;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13516;Won-il Sohn;TKORSohn;5;1930;1970;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13519;Deok-chang Jang;TKORJang;4;1930;1970;fighter_tactics;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13518;Yong-deok Choi;TKORChoi;5;1930;1970;fighter_tactics;bomber_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13531;Korean Aviation Academy;T_KOR_Korean_Airforce_Academy;4;1945;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13520;Korean Constabulary Academy;TKORKCA;3;1970;1970;small_unit_tactics;combined_arms_focus;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13513;Hong-il Kim;TKORKim2;4;1930;1970;small_unit_tactics;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13514;Sa-ik Hong;TKORHong;4;1970;1951;large_unit_tactics;centralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13515;Seon-yeop Baek;TKORBaek;5;1945;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13512;Jwa-jin Kim;TKORKim;5;1930;1970;small_unit_tactics;decentralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
