MAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6416;Nobutaro Yoshino;T_MAN_Nobutaro_Yoshino;6;1933;1946;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6417;Northeast Agricultural Development Organization;T6402;4;1930;1948;mechanics;chemistry;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6418;Northeast Industrial Development Organization;T1902;4;1930;1948;mechanics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6419;Shenyang Heavy Machinery Factory;T_MAN_Shenyang_Machinery;4;1948;1970;mechanics;chemistry;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6420;Fan Xudong;T1016;4;1914;1949;mathematics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6421;Shenyang Chemical Industry;T_MAN_Shenyang_Chemical;5;1949;1970;mathematics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6460;Chen Fangyun;T_UIR_Chen_Fangyun;5;1943;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6422;Manchuria Electricity Company;T_MAN_Manchuria_Electric;5;1930;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6423;Benxi Coal and Iron Company;T_MAN_Benxi_Steelworks;5;1911;1970;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6424;Fushun Mining Group;T_MAN_Fushun_Mining_Group;5;1901;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6425;Anshan Iron & Steel Works;T_MAN_Anshan_Iron&Steel;6;1913;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6426;South Manchuria Railway Co.;T6400;7;1906;1970;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6427;Harbin Institute of Technology;T_MAN_HarbinTech2;3;1920;1950;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6428;Harbin Institute of Technology;T_MAN_HarbinTech2;4;1950;1970;mechanics;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6429;Northeastern University;T_MAN_Northeastern_University;4;1923;1950;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6430;Northeastern University;T_MAN_Northeastern_University;5;1950;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6462;Lin Kesheng;T_EAF_Robert_Kho-Seng_Lim;5;1936;1970;individual_courage;training;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6463;Wei Daming;T_CHI_Wei_Daming;5;1938;1970;mathematics;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6461;Wang An;T_CHI_Wang_An;6;1948;1970;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6464;Chen Xingshen;T1011;8;1945;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6431;Lu Hefu;Hofflutech;5;1941;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6465;China Naval Research Institute;T_CHI_Naval_Research_Institute;4;1958;1970;naval_engineering;electronics;nuclear_engineering;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6432;Shen Honglie;T_Shen Honglie;3;1923;1947;aircraft_testing;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6433;Yin Zuoqian;T_MAN_Yin_Zuoqian;3;1931;1949;naval_artillery;small_unit_tactics;small_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6434;Huludao Naval School;T_MAN_Huludao_Naval_School;3;1930;1970;naval_engineering;electronics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6435;Liu Guangkai;T_MAN_Liu_Guangkai;4;1947;1970;naval_engineering;large_taskforce_tactics;small_taskforce_tactics;centralized_execution;naval_training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6466;Chen Qingjia;T_CHI_Chen_Qingjia;5;1945;1970;centralized_execution;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6436;Song Changzhi;T_MAN_Song_Changzhi;5;1949;1970;small_taskforce_tactics;carrier_tactics;naval_training;seamanship;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6437;Sato Ichiro;T_MAN_Sato_Ichiro;6;1935;1954;large_taskforce_tactics;centralized_execution;decentralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6438;Feng Yong;T_MAN_Feng_Yong;3;1926;1944;fighter_tactics;small_unit_tactics;decentralized_execution;piloting;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6439;Zhang Xueliang;Zhang_XueliangT;3;1928;1948;bomber_tactics;large_unit_tactics;centralized_execution;piloting;combined_arms_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6440;Ge Shichang;T_MAN_Ge_Shichang;4;1940;1967;fighter_tactics;bomber_tactics;piloting;aeronautics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6441;Gao Zhihang;Gao Zhihang;5;1944;1970;fighter_tactics;decentralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6442;Chen Yifan;T_MAN_Chen_Yifan;5;1948;1970;bomber_tactics;centralized_execution;piloting;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6443;Ogasawara Kazuo;T_MAN_Ogasawara_Kazuo;5;1935;1953;fighter_tactics;bomber_tactics;centralized_execution;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6444;Sakai Iori;T_MAN_Sakai_Iori;6;1938;1970;fighter_tactics;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6445;Guo Songling;T_MAN_Guo_Songling;5;1920;1940;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6446;Wang Yizhe;T_MAN_Wang_Yizhe;5;1940;1948;large_unit_tactics;centralized_execution;decentralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6447;Zou Zuohua;T_MAN_Zou_Zuohua;6;1927;1948;small_unit_tactics;centralized_execution;decentralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6448;Lü Zhengcao;T_MAN_Lu_Zhengcao;6;1946;1969;small_unit_tactics;decentralized_execution;individual_courage;infantry_focus;training;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6449;Ishiwara Kanji;T_MAN_Ishiwara_Kanji;6;1937;1954;small_unit_tactics;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6450;He Shili;T_MAN_Robert_Ho_Shai_Lai;7;1948;1970;small_unit_tactics;large_unit_tactics;combined_arms_focus;maneuver_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6467;Chinese Marine Corps;T_CHI_Marine_Corps;4;1936;1970;marine_training;small_unit_tactics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6468;Army Airborne Special Forces;T_CHI_Army_Commando_Brigade;4;1944;1970;airborne_training;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6469;Liu Zhongdi;T_CHI_Liu_Zhongdi;5;1940;1960;mountain_training;small_unit_tactics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
