CZE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1113;Vaclav Holek;T_CZE_Vaclav_Holek;7;1921;1955;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1114;CKD-Praga;T_CZE_Praga;5;1907;1970;mechanics;general_equipment;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1115;Ringhoffer-Tatra;T_CZE_Tatra;5;1897;1970;mechanics;electronics;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1116;Ceskomoravska Kolben-Danek;T_CZE_CKD;7;1927;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1117;Skoda;kaiserreich_T16;8;1869;1970;artillery;mechanics;munitions;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1118;Pardubitzer Mineralolraffinerie;T_POL_Polmin;5;1889;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1119;SPOLCHEMIE;T_CZE_SPOLCHEMIE;5;1856;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1120;Leciva B.Fragner;T_CZE_Jiri_Fragner;5;1930;1970;medicine;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1121;Vojenske telegrafni dilny;T_CZE_VTD;6;1918;1970;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1122;Josef Dvorak;T_CZE_Josef_Dvorak;5;1922;1944;mathematics;mechanics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1123;Antonin Svoboday;T_CZE_Antonin_Svoboda;6;1943;1970;mathematics;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1124;Cesky Siemens;T14;6;1890;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1125;Jaroslav Kozesnik;T_CZE_Jaroslav_Kozesnik;6;1946;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1126;Dr. Ing. Karel Skorkovsky;T_CZE_Karel_Skorkovsky;7;1923;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1127;Bata;T_CZE_Bata;7;1894;1970;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1128;VHHT;T_CZE_Poldi;7;1873;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1129;Trinecke zelezarny;T_CZE_Trinec;7;1839;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130;Josef Skvaril;T_CZE_Josef_Skvaril;4;1946;1970;medicine;aeronautics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1131;Vladimir Haering;T_CZE_Vladimir_Haering;5;1928;1946;medicine;centralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1132;Univerzita Karlova v Praze;T1110;5;1348;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1133;Eduard Cech;T_CZE_Eduard_Cech;7;1936;1960;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1134;Josef Mattauch;T_CZE_Josef_Mattauch;5;1937;1970;nuclear_physics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1135;Georg Placzek;T_CZE_Georg_Placzek;5;1942;1965;nuclear_physics;nuclear_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1136;Zdenko Hudecek;T_CZE_Zdenek_Eugen_Hudecek;4;1922;1952;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1137;Jakub Frey;T_CZE_Jakub_Frey;4;1952;1970;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1138;Rudolf Holeka;T_CZE_Rudolf_Holeka;4;1930;1940;fighter_tactics;bomber_tactics;piloting;aeronautics;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1139;Bedrich Stary;T_CZE_Bedrich_Stary;5;1934;1947;bomber_tactics;centralized_execution;piloting;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1140;Karel Janousek;T1106;5;1936;1948;fighter_tactics;bomber_tactics;decentralized_execution;combined_arms_focus;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1141;Vaclav Korda;T_CZE_Vaclav_Korda;6;1947;1970;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1142;Frantisek Weber;T_CZE_Frantisek_Weber;6;1948;1970;fighter_tactics;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1143;Julius Arigi;T_CZE_Julius_Arigi;7;1934;1948;fighter_tactics;piloting;mechanics;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1144;Alois Vasatka;T_CZE_Alois_Vasatka;7;1948;1970;fighter_tactics;piloting;individual_courage;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1145;Karel Husarek;T_CZE_Karel_Husarek;5;1933;1958;small_unit_tactics;chemistry;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1146;Karel Kutlvasr;T_CZE_Karel_Kutlvasr;5;1932;1950;small_unit_tactics;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1147;Frantisek Rezabek;T_CZE_Frantisek_Rezabek;5;1946;1968;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1148;Vaclav Sara;T_CZE_Vaclav_Sara;6;1933;1950;small_unit_tactics;decentralized_execution;combined_arms_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1149;Otakar Richter;T_CZE_Otakar_Rytir;6;1950;1970;small_unit_tactics;large_unit_tactics;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1150;Bohumir Lenc;T_CZE_Bohumir_Lomsky;7;1950;1970;large_unit_tactics;individual_courage;infantry_focus;piloting;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1151;Karel Palecek;T_CZE_Karel_Palecek;5;1945;1961;airborne_training;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1152;Vojtech Luza;T_CZE_Vojtech_Boris_Luza;5;1932;1956;mountain_training;small_unit_tactics;large_unit_tactics;infantry_focus;combined_arms_focus;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
