ARG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
420;Bunge y Borne;T_ARG_Bunge_Borne;5;1890;1970;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
421;Siam di Tella;T_ARG_Siam_diTella;6;1911;1954;mechanics;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
422;Siam di Tella;T_ARG_Siam_diTella;6;1954;1970;mechanics;electronics;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
423;Luis F. Leloir;T415;7;1938;1960;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
424;Manuel Savio;kai_Manuelsavio;4;1937;1950;mechanics;chemistry;training;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
425;José Babini;T_ARG_Jose_Babini;4;1936;1970;mathematics;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
426;Universidad Nacional de Córdoba;T421;4;1930;1970;mathematics;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
427;Asociación Médica de la Plata;AMA_KR;5;1891;1970;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
428;Comision Nacional de Energia Atómica;T418;4;1937;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
429;Jorge Alberto Sabato;T_ARG_Jorge_Alberto_Sabato;4;1930;1970;nuclear_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
430;Antonio Parodi;T408;4;1930;1950;fighter_tactics;piloting;general_equipment;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
431;Escuela de Aviación Militar;T412;4;1938;1970;fighter_tactics;bomber_tactics;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
432;Pedro Casal;T414;4;1930;1946;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
433;Eleazar Videla;T410;5;1942;1960;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
434;Escuela Naval Militar;T_ARG_NavalMilitar;5;1936;1970;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
435;Augustín Justo;T409;3;1930;1938;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
436;Francisco Velez;T411;5;1930;1941;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
437;Juan Peron;T413;5;1941;1960;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
438;Escuela Superior de Guerra;T_ARG_EscueladeGuerra;5;1930;1970;large_unit_tactics;decentralized_execution;infantry_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
439;Escuela Militar;T422;4;1900;1970;mountain_training;small_unit_tactics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
440;Escuela de Paracaidismo;T_ARG_Paracaidismo;4;1944;1970;airborne_training;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
441;Comando de la Infantería de Marina;T_ARG_ComandoMarina;4;1939;1970;marine_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
