RUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7241;Opytno-Konstruktorskie Byuro Polikarpova;T7241;6;1930;1944;aeronautics;aircraft_testing;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7242;Opytno-Konstruktorskie Byuro Petlyakova;T7242;7;1930;1946;aeronautics;bomber_design;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7243;Nizhny Tagil Metallurgichesky Kombinat;T3712;5;1938;1970;mechanics;chemistry;industrial_engineering;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7244;Moskovskiy Gosudarstvennyi Universitet imieni N. E. Baumana;T7243;6;1930;1970;electronics;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7245;Igor I. Sikorsky;T7244;9;1930;1970;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7246;Igor V. Kurchatov;T3704;7;1970;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7247;Sergei P. Korolev;T3703;6;1970;1970;rocketry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7248;Mikhail Berens;BerensTT;6;1970;1970;large_taskforce_tactics;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7249;Ivan F. Bosrem;BostremTT;6;1970;1970;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7250;Robert von Wiren;Tkaiserreich_RvW;5;1970;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7251;Opytno-Konstruktorskie Byuro Sukhoia;T7212;5;1939;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7252;Opytno-Konstruktorskie Byuro Tupoleva;T3714;6;1930;1970;aeronautics;fighter_design;bomber_design;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7253;Opytno-Konstruktorskie Byuro Morozova;T14007;6;1960;1970;mechanics;artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7254;Yak Aircraft Corporation;T3718;8;1934;1970;aeronautics;mechanics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7255;Kamov;Kamov_KR_TT;6;1929;1970;aeronautics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7256;Marine Cadet Corps;MCC_KR_RUS_TT;5;1930;1970;small_unit_tactics;marine_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7257;Vozdushno-Desantnye Voyska;T3721;5;1936;1966;airborne_training;general_equipment;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7258;Vladimir G. Fyodorov;kai_vgfyodr;7;1930;1970;general_equipment;artillery;chemistry;management;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7259;Nicholas Cavalry Academy;kai_NicCavSchoolTT;4;1930;1970;cavalry_tactics;training;munitions;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7260;Suvorov Military Academy;Suvorov_tech;5;1937;1970;mountain_training;small_unit_tactics;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7261;Yakov A. Slashchov;Tech_Slaschov;4;1937;1970;blitzkrieg_tactics;combined_arms_focus;maneuver_tactics;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7262;Nizhny Novgorod Machine Plant;Tech_NizhnyNMP;6;1970;1970;mechanics;technical_efficiency;vehicle_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
