TEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13808;Mobile Naval Shipyard;T13803;6;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13809;Ingalls Shipbuilding;ingalls;7;1951;1970;naval_engineering;electronics;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13835;Newport News Shipbuilding;T109;7;1951;1970;naval_engineering;technical_efficiency;electronics;carrier_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13810;Higgins Industries Inc.;T105;5;1941;1970;naval_engineering;mechanics;general_equipment;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13830;Food Machinery Corporation;Z_T_FMC;5;1940;1946;mechanics;technical_efficiency;industrial_engineering;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13831;FMC Corporation;Z_T_FMC;6;1946;1970;mechanics;chemistry;technical_efficiency;industrial_engineering;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13811;Louisiana State University;13802;5;1930;1970;mechanics;management;chemistry;mathematics;training;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13812;Joseph Desch;Z_T_TEX_JRD;7;1937;1970;mathematics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13813;McWane Steel Corporation;T13802;5;1930;1970;general_equipment;management;industrial_engineering;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13834;Keller Motors Corporation;Z_T_TEX_KMC;5;1947;1970;mechanics;management;industrial_engineering;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13814;KYSO;kyso;6;1930;1970;chemistry;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13815;Southern Railway;T10511;5;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13816;Oak Ridge National Laboratory;T10509;6;1943;1970;nuclear_physics;chemistry;technical_efficiency;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13817;American Union Oil Company;unionoilco;7;1970;1970;chemistry;technical_efficiency;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13818;Eckert–Mauchly Company;Eckert-Mauchly_TT;7;1945;1970;electronics;mathematics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13819;Quentin Roosevelt;roosevelt;5;1930;1943;fighter_tactics;piloting;decentralized_execution;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13832;Nathan B. Forrest III;Z_T_NBF;5;1943;1970;decentralized_execution;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13828;Claire Lee Chennault;t1007;5;1938;1949;fighter_tactics;piloting;training;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13820;Charles Lindbergh;13804;5;1930;1970;aircraft_testing;piloting;aeronautics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13826;Curtis LeMay;T122;5;1938;1965;training;management;centralized_execution;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13821;William Halsey;13801;6;1930;1947;naval_training;carrier_tactics;large_taskforce_tactics;seamanship;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13822;Robert English;Z_T_TEX_ENGLISH;5;1930;1947;naval_training;submarine_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13823;Thomas Moorer;moorer;6;1947;1970;naval_training;centralized_execution;carrier_tactics;large_taskforce_tactics;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13838;Roy Davenport;Z_T_TEX_DAVENPORT;5;1947;1970;naval_training;submarine_tactics;seamanship;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13827;George S. Patton;13800;8;1930;1960;combined_arms_focus;individual_courage;small_unit_tactics;decentralized_execution;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13822;Roy Geiger;rgeiger;7;1941;1947;combined_arms_focus;small_unit_tactics;bomber_tactics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13824;Matthew Ridgway;ridgeway;8;1946;1970;combined_arms_focus;individual_courage;centralized_execution;large_unit_tactics;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13837;Garrison H. Davidson;Z_T_TEX_DAVIDSON;6;1948;1970;infantry_focus;small_unit_tactics;static_defense_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13829;Parris Island;z_t_parris_island;5;1918;1970;marine_training;small_unit_tactics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13839;Fort Benning;T10512;5;1940;1970;airborne_training;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
