MEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2220;PEMEX;MEX_Pemex;5;1970;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2221;UNAM;T2211;3;1910;1970;mathematics;chemistry;training;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2222;Instituto Politécnico Nacional;MEX_IPN;3;1936;1970;mechanics;electronics;chemistry;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2223;Universidad Pontificia de México;MEX_Pontificia;4;1970;1970;chemistry;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2224;Luis E. Miramontes;MEX_Miramontes;5;1948;1970;medicine;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2225;Manuel Sandoval Vallarta;T99008;4;1934;1950;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2226;Carlos Graef Fernández;T_MEX_Carlos_Graef_Fernandez;5;1950;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2227;Luís Schaufelberger Alatorre;T_MEX_Luis_Schaufelberger_Alatorre;3;1929;1947;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2228;Carlos Castillo Bretón Barrero;T99012;4;1935;1962;aircraft_testing;piloting;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2229;Álvaro Sandoval Paullada;T_MEX_Alvaro_Sandoval_Paullada;4;1947;1968;naval_artillery;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2230;Manuel Zermeño Araico;T_MEX_Manuel_Zermeno_Araico;4;1947;1966;large_taskforce_tactics;naval_training;seamanship;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2231;Gustavo Salinas Camiña;T_MEX_Gustavo_Salinas_Camina;3;1924;1948;fighter_tactics;bomber_tactics;piloting;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2232;Ralph O'Neill;T_MEX_Ralph_Ambrose_ONeill;3;1925;1948;fighter_tactics;bomber_tactics;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2233;Luis Farell Cubillas;T_MEX_Luis_Farell_Cubillas;4;1948;1970;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2234;Antonio Cárdenas Rodríguez;T_MEX_Antonio_Cardenas_Rodriguez;4;1948;1968;fighter_tactics;decentralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2235;Alfonso Cruz Rivera;T_MEX_Alfonso_Cruz_Rivera;5;1950;1970;fighter_tactics;bomber_tactics;piloting;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2236;Heróico Colegio Militar;T99020;3;1920;1947;large_unit_tactics;centralized_execution;infantry_focus;cavalry_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2237;Joaquín Amaro Domínguez;T99009;3;1931;1942;small_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2238;Francisco Luis Urquizo;T99010;4;1936;1956;small_unit_tactics;decentralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2239;Matías Ramos Santos;T_MEX_Matias_Ramos_Santos;4;1941;1956;centralized_execution;individual_courage;combined_arms_focus;maneuver_tactics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2240;Lázaro Cárdenas;T_MEX_Lazaro_Cardenas;4;1928;1956;centralized_execution;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2241;Luis Alamillo Flores;T_MEX_Luis_Alamillo_Flores;4;1956;1969;small_unit_tactics;large_unit_tactics;combined_arms_focus;maneuver_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2242;Brigada de Fusileros Paracaidistas;T_MEX_Brigada_Paracaidistas;3;1946;1970;airborne_training;small_unit_tactics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2243;Cuerpo de Infantería de Marina;T_MEX_Infanteria_de_Marina;4;1940;1970;marine_training;small_unit_tactics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2244;Heróico Colegio Militar;T99020;4;1947;1970;mountain_training;small_unit_tactics;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
