CHC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8318;Jinan Locomotive Factory;T_CHI_China_Railways_JianShe;3;1910;1949;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8319;Jinan Locomotive Factory;T_CHI_China_Railways_JianShe;4;1949;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8320;East China Automobile Works;T_UPE_Nanjing_Automobile_Works;4;1946;1970;mechanics;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8321;Yulong Automobile Works;T_CHI_Yulon_Motor;5;1948;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8322;China Railway Engineering Bureau;NCHrailwaysT;5;1970;1970;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8323;Beijing North Vehicle Group;Peiyang Heavy Industry;5;1946;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8324;Zhongxing Colliery Company;T1004;4;1878;1946;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8325;Shandong Electric Power Bureau;T_CHC_Qingdao_Electric_Factory;4;1914;1970;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8326;Yucheng Ironworks;T8304;4;1936;1948;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8327;Zaozhuang Mining Bureau;T1004;5;1946;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8328;China National Petroleum Bureau;T_CHI_CNPC;5;1936;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8329;Yongli Chemical Industries;T_CHI_Nanjing_Chemical;5;1936;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8330;Fushun Mining Group;T_MAN_Fushun_Mining_Group;5;1901;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8331;China Electric Power Bureau;T_MAN_Manchuria_Electric;5;1970;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8332;Chen Fangyun;T_CHI_Chen_Fangyun;5;1943;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8333;Jinan Iron & Steel Works;T8304;6;1948;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8334;Shandong University;T_CHC_Shandong_University;3;1901;1950;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8335;Shandong University;T_CHC_Shandong_University;4;1950;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8336;Zhang Tianran University;Hongkongunitech;5;1970;1970;mathematics;nuclear_physics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8337;Su Buqing;T_UPE_Su_Buqing;7;1945;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8338;Wang Pu;Wang Pu;5;1940;1969;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8339;China Naval Research Institute;T_CHI_Naval_Research_Institute;4;1958;1970;naval_engineering;electronics;nuclear_engineering;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8340;Xu Zushan;T_CHC_Xu_Zushan;3;1936;1954;naval_engineering;submarine_design;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8341;Naval Aviation University;T_CHI_Naval_Aviation_University;4;1945;1970;aircraft_testing;bomber_tactics;piloting;large_taskforce_tactics;carrier_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8342;Naval Submarine School;T_CHI_Naval_Submarine_School;4;1945;1970;aircraft_testing;bomber_tactics;piloting;large_taskforce_tactics;carrier_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8343;Liu Zhonghua;T_CHC_Liu_Zhonghua;5;1950;1970;large_taskforce_tactics;centralized_execution;naval_training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8344;Zhu Binhou;T_CHC_Zhu_Binhou;3;1936;1940;fighter_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8345;Li Zaolin;T_CHC_Li_Zaolin;3;1936;1945;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8346;Zhang Tingmeng;T_CHC_Zhang_Tingmeng;4;1945;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8347;Zang Xilan;T_CHC_Zang_Xilan;5;1947;1970;fighter_tactics;decentralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8348;Liu Shanben;T_CHC_Liu_Shanben;5;1947;1970;bomber_tactics;centralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8349;Shandong Army School;T8805;3;1902;1970;centralized_execution;infantry_focus;cavalry_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8350;Zhou Yawei;T_CHC_Zhou_Yawei;3;1936;1950;small_unit_tactics;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8351;Zhao Zhenyu;T_CHC_Zhao_Zhenyu;4;1949;1970;small_unit_tactics;combined_arms_focus;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8352;Guan Songtao;T_CHC_Guan_Songtao;4;1945;1970;small_unit_tactics;centralized_execution;decentralized_execution;combined_arms_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8353;Zhang Xiqin;T_CHC_Zhang_Xiqin;5;1950;1970;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8354;Chinese Marine Corps;T_CHI_Marine_Corps;4;1936;1970;marine_training;small_unit_tactics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8355;Army Airborne Special Forces;T_CHI_Army_Commando_Brigade;4;1944;1970;marine_training;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8356;Tianchao Military Academy;Ch_academy;5;1970;1970;mountain_training;small_unit_tactics;large_unit_tactics;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
