CHI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1010;Ye Zaifu;Zaifutech;5;1930;1960;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1011;Huludao Shipyard;T110;4;1969;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1012;Huangpu Shipyard;TC_CHC_8320;3;1930;1970;naval_engineering;naval_artillery;submarine_design;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1013;Hanyang Arsenal;T1002;4;1930;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1014;Jiangnan Arsenal;T_CHI_Jiangnan_Arsenal;4;1865;1970;artillery;mechanics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015;Krupp China;T13;6;1969;1970;artillery;mechanics;chemistry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1016;Shanghai Arsenal;Shangarsenaltech;4;1969;1970;artillery;general_equipment;munitions;training;marine_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1017;Chang'an;T1015;4;1930;1970;artillery;mechanics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1018;Tianjin Tram & Electric Co.;T8807;4;1969;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1019;Opel Ostasien;T11;5;1969;1970;mechanics;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020;Guangzhou Diesel Engine Factory;T_CHI_Guangzhou_Engine;4;1936;1970;mechanics;electronics;general_equipment;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1021;Peiyang Heavy Industry;Peiyang Heavy Industry;4;1969;1970;artillery;mechanics;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1022;Chung Hing Coal Company;T1004;3;1930;1942;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1023;National Machine Works;T8500;3;1930;1970;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1024;Yong Li;T1016;4;1930;1949;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1025;Kaiping Coal Mine;T1004;4;1969;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1026;Shanghai International Tram Authority;100748;4;1969;1970;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1027;Siemens Ostasien;kaiserreich siemens-china;5;1969;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1028;Nanjing Chemical Group;T_CHI_Nanjing_Chemical;6;1949;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1029;Anshan Iron & Steel Works;T_MAN_Anshan_Iron&Steel;6;1969;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1030;Chinese Changchun Railway Co. ;T6400;6;1969;1970;mechanics;electronics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1031;Hoff Lu;Hofflutech;4;1941;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1032;Academia Sinica;T1012;3;1930;1970;mathematics;mechanics;chemistry;training;nuclear_physics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1033;Southwest University;T_CYN_Southwest_University;3;1969;1970;mathematics;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1034;Guangxi University;T_CHI_Guangxi_University;3;1939;1949;mathematics;chemistry;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1035;Guangxi University;T_CHI_Guangxi_University;4;1949;1970;mathematics;electronics;chemistry;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1036;Hong Kong University;Hongkongunitech;4;1969;1970;mathematics;electronics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1037;Shanghai University;kaiserreich Tshanghaiu;4;1969;1970;mechanics;electronics;chemistry;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1038;National Tsinghua University;T_CSX_Tsinghua_University;4;1969;1949;mathematics;electronics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1039;National Tsinghua University;T_CSX_Tsinghua_University;5;1949;1970;mathematics;mechanics;chemistry;nuclear_physics;nuclear_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1040;Shiing-shen Chern;T1011;6;1930;1970;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1041;Huang Chen-tsuo;T1008;3;1936;1970;fighter_tactics;bomber_tactics;centralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1042;Gao Zhihang;Zhihangtech;5;1969;1970;fighter_tactics;decentralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1043;Republic of China Air Force;T_CHI_ROC_Airforce;4;1940;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1044;Chin Shui-Tin;Chintech;5;1930;1970;fighter_tactics;centralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1045;Chen Shao-kuan;T1009;3;1930;1947;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1046;Shen Honglie;T_Shen Honglie;3;1969;1970;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1047;Chen Shao-kuan;T1009;4;1947;1970;large_taskforce_tactics;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1048;Donald Brotchie;kaiserreich TBrotchie;4;1969;1970;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1049;R.O.C. Naval Academy;T_ROC Naval Academy;4;1941;1970;large_taskforce_tactics;centralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1050;Tianjin Naval Academy;T8319;4;1969;1970;naval_engineering;large_taskforce_tactics;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1051;Huang Shaohong;Huang_ShaohongT;3;1930;1940;large_unit_tactics;centralized_execution;infantry_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1052;Zhang Xueliang;Zhang_XueliangT;4;1969;1970;large_unit_tactics;centralized_execution;combined_arms_focus;bomber_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1053;William E. Fairbairn;Kaiserreich TFairbairn;4;1969;1970;small_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1054;Huangpu Military Academy;T1013;4;1930;1939;mountain_training;small_unit_tactics;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1055;Central Military Academy;Nanking Military Academy;5;1939;1970;mountain_training;small_unit_tactics;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1056;Xue Yue;T_Xue Yue;5;1940;1970;decentralized_execution;infantry_focus;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1057;Sun Li-Gen;Sun Li-Gentech;6;1930;1960;small_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
