SER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15816;TZV Gredelj;T_CRO_TZV_Gredelj;4;1969;1970;mechanics;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15817;Prva Jugoslavenska Tvornica;T3309;4;1969;1970;mechanics;technical_efficiency;vehicle_engineering;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15818;Mikron;T3804;4;1930;1947;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15819;Serbian State Railways;T3805;4;1930;1970;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15820;Rafinerija Nafte Bosanski Brod;T_BOS_Rafinerija_Bosanski_Brod;4;1969;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15821;Naftna Industrija Srbije;T_SER_Naftna_Industrijia;4;1949;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15822;SARTID Smederevo;T_SER_SARTID;4;1930;1970;mechanics;general_equipment;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15823;Zeljezara Zenica;T_BOS_Zeljezara_Zenica;5;1969;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15824;Memorandum Teleoptik;T3803;5;1930;1948;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15825;Yugoslav Railways;T3805;5;1969;1970;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15826;Elektronska Industrija Nis;T_SER_Elektronska_Industrija;5;1948;1970;electronics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15827;Zorka;T3814;3;1938;1970;chemistry;industrial_engineering;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15828;Belgrade University;T15800;4;1930;1970;mathematics;electronics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15829;Institut Nikole Tesle;T3816;5;1939;1947;mathematics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15830;Institut Nikole Tesle;T3816;5;1947;1970;mathematics;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15831;Jovan Karamata;T_SER_Jovan_Karamata;6;1940;1967;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15832;Pavle Savic;T3813;7;1932;1970;nuclear_physics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15833;Bogdan Pecotic;T_CRO_Bogdan_Pecotic1;4;1945;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15834;Velimir Skorpik;T_CRO_Velimir_Skorpik;4;1948;1970;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15835;Dubrovnik Maritime Academy;T_CRO_Maritime_Academy_Gruz;4;1969;1970;naval_engineering;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15836;Branko Vukosavljevic;T_SER_Branko_Vukosavljevic;3;1930;1945;fighter_tactics;piloting;individual_courage;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15837;Borivoje Mirkovic;T_SER_Borivoj_Mirkovic;3;1930;1948;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15838;Dusan Simovic;T3809;3;1930;1945;fighter_tactics;bomber_tactics;centralized_execution;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15839;Vladeta Petrovic;T_SER_Vladeta_Petrovic;4;1945;1970;fighter_tactics;bomber_tactics;piloting;aircraft_testing;naval_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15840;Mato Dukovac;T_CRO_Mato_Dukovac;5;1945;1970;fighter_tactics;decentralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15841;Viktor Bubanj;T_CRO_Viktor_Bubanj;5;1948;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15842;Belgrade Military Academy;T_SER_Military_Academy;4;1969;1970;small_unit_tactics;large_unit_tactics;centralized_execution;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15843;Draza Mihajlovic;T99999999;5;1930;1960;large_unit_tactics;individual_courage;large_unit_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15844;Konstantin Popovic;T_SER_Konstantin_Popovic;5;1945;1970;large_unit_tactics;centralized_execution;infantry_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15845;Arso Jovanovic;T_SER_Arso_Jovanovic;5;1946;1970;small_unit_tactics;centralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15846;Petar Bojovic;Tech_Petar Bojovic;5;1930;1945;small_unit_tactics;centralized_execution;infantry_focus;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15847;Mihailo Apostolski;T_SER_Mihailo_Apostolski;5;1940;1970;mountain_training;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15848;Skola Specijalnih Jedinica;T3817;4;1944;1970;airborne_training;marine_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
