POL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2740;Jerzy Swirski;T2712;4;1930;1948;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2741;Boleslaw Romanowski;T_POL_Boleslaw_Romanowski;5;1950;1969;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2742;Józef Bartosik;T_POL_Jozef_Bartosik;5;1948;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2743;Ludomil Rayski;T2711;4;1930;1949;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2744;Stanislaw Ujejski;T_POL_Stanislaw_Ujejski;4;1931;1944;fighter_tactics;decentralized_execution;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2745;Waclaw Makowski;T_POL_Waclaw_Makowski;5;1937;1962;piloting;aeronautics;electronics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2746;Stanislaw Jasinski;T_POL_Stanislaw_Jasinski;5;1936;1948;fighter_tactics;bomber_tactics;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2747;Witold Urbanowicz;kaiwitoldurb;5;1944;1951;fighter_tactics;decentralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2748;Adam Kowalczyk;T_POL_Adam_Kowalczyk;5;1948;1969;fighter_tactics;bomber_tactics;centralized_execution;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2749;Szczepan Scibior;T_POL_Szczepan_Scibior;6;1949;1969;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2750;Stanislaw Skalski;T_POL_Stanislaw_Skalski;6;1951;1970;fighter_tactics;piloting;individual_courage;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2751;Jerzy Bordzilowski;T_POL_Jerzy_Bordzilowski;5;1946;1968;small_unit_tactics;chemistry;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2752;Wilhelm Orlik-Rückemann;T_POL_Wilhelm_Orlik-Ruckemann;5;1927;1960;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2753;Kazimierz Sosnkowski;T_pol_kazimierz_sosnkowski;5;1920;1950;large_unit_tactics;centralized_execution;infantry_focus;combined_arms_focus;large_unit_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2754;Waclaw Stachiewicz;T_POL_Waclaw_Stachiewicz;6;1935;1950;small_unit_tactics;large_unit_tactics;centralized_execution;decentralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2755;Stanislaw Tatar;T_POL_Stanislaw_Tatar;6;1933;1962;small_unit_tactics;centralized_execution;decentralized_execution;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2756;Bronislaw Prugar-Ketling;T_POL_Bronislaw_Prugar-Ketling;6;1935;1957;small_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2757;Franciszek Skibinski;T_POL_Franciszek_Skibinski;6;1950;1965;large_unit_tactics;infantry_focus;combined_arms_focus;maneuver_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2758;Jerzy Grobicki;T_POL_Jerzy_Grobicki;7;1930;1946;decentralized_execution;cavalry_tactics;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2759;Otton Roczniok;T_POL_Otton_Roczniok;4;1950;1970;marine_training;small_unit_tactics;combined_arms_focus;vehicle_engineering;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2760;Józef Kuropieska;T_POL_Jozef_Kuropieska;5;1956;1970;mountain_training;airborne_training;small_unit_tactics;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2761;Mieczyslaw Boruta-Spiechowicz;T_POL_Mieczyslaw_Boruta-Spiechowicz;6;1934;1956;mountain_training;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2762;Stanislaw Sosabowski;T_POL_Stanislaw_Sosabowski;6;1941;1956;airborne_training;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
