SAF;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3028;South African Naval College;Kaiserreich_SAF_Naval_College;3;1930;1947;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3029;South African Naval College;Kaiserreich_SAF_Naval_College;4;1947;1970;naval_engineering;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3030;Guy Waterhouse Hallifax;T_SAF_Guy_Waterhouse_Hallifax;4;1936;1945;naval_artillery;small_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3031;Frederick John Dean;T_SAF_Frederick_John_Dean;4;1945;1952;small_taskforce_tactics;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3032;Hugo Hendrik Biermann;T_SAF_Hugo_Biermann;5;1952;1970;naval_artillery;large_taskforce_tactics;centralized_execution;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3033;Christoffel Venter;T_SAF_Christoffel_Venter;4;1936;1946;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3034;Stephen Melville;T_SAF_Stephen_Alexander_Melville;4;1950;1970;fighter_tactics;bomber_tactics;piloting;combined_arms_focus;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3035;Quintin Brand;T_SAF_Christopher_Quintin_Brand;5;1932;1946;fighter_tactics;decentralized_execution;piloting;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3036;Pierre van Ryneveld;T_SAF_Pierre_vanRyneveld;5;1930;1950;fighter_tactics;bomber_tactics;piloting;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3037;James Thom Durrant;T_SAF_James_Durrant;5;1946;1970;bomber_tactics;centralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3038;Marmaduke Pattle;T_SAF_Marmaduke_Pattle;6;1946;1970;fighter_tactics;decentralized_execution;piloting;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3039;South African Military Schools;Kaiserreich_SAF_Military_College;4;1913;1970;centralized_execution;piloting;individual_courage;infantry_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3005;Andries Brink;T_SAF_Andries_Jacob_Brink;5;1920;1943;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3040;Pieter Grobbelaar;T_SAF_Pieter_Grobbelaar;5;1953;1970;small_unit_tactics;infantry_focus;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3041;George Brink;T_SAF_George_Edwin_Brink;5;1937;1948;small_unit_tactics;combined_arms_focus;maneuver_tactics;technical_efficiency;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3042;Christiaan du Toit;T_SAF_Christiaan_duToit;5;1948;1967;large_unit_tactics;centralized_execution;combined_arms_focus;technical_efficiency;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3043;William H.E. Poole;T_SAF_Evered_Poole2;6;1938;1953;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
