CRO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
31014;Trifailer Kohlenwerks-Gesellschaft;T3309;4;1872;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31015;Rafinerija nafte Rijeka;T_BOS_Rafinerija_Bosanski_Brod;4;1882;1970;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31016;SUFID Sibenik;T_CRO_SUFID_Sibenik;4;1900;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31017;Kastel;T_CRO_Kastel_PLIVA;4;1921;1970;medicine;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31018;National Construction Company;T_CRO_Viadukt;5;1945;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31019;Zeljezara Sisak;T_BOS_Zeljezara_Zenica;5;1939;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31020;Andrija Stampar;T_CRO_Andrija_Stampar;5;1919;1958;medicine;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31021;University of Zagreb;T31011;3;1669;1949;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31022;University of Zagreb;T31011;4;1949;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31023;Zeljko Markovic;T_CRO_Zeljko_Markovic;5;1925;1950;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31024;Vilim Feller;T_CRO_Vilim_Srecko_Feller;7;1950;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31025;Institut Ruder Boskovic;T_CRO_Institut_Ruder_Boskovic;3;1950;1970;nuclear_physics;nuclear_engineering;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31026;Tomo Tijanic;T_CRO_Tomo_Tome_Tijanovic;4;1935;1950;naval_artillery;electronics;small_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31027;Emil Domainko;T_CRO_Emil_Dure_Domainko;4;1926;1950;naval_engineering;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31028;Radoslav Saje;T_SLV_Radoslav_Saje;4;1947;1970;naval_engineering;submarine_tactics;naval_training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31029;Bogdan Pecotic;T_CRO_Bogdan_Pecotic1;4;1950;1970;large_taskforce_tactics;centralized_execution;naval_training;technical_efficiency;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31030;Dubrovnik Maritime Academy;T_CRO_Maritime_Academy_Gruz;4;1923;1970;naval_engineering;small_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31031;Emil Uzelac;T_CRO_Emil_Uzelac;4;1930;1941;fighter_tactics;bomber_tactics;piloting;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31032;Adalbert Rogulja;T_CRO_Adalbert_Rogulja;4;1941;1954;fighter_tactics;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31033;Viktor Bubanj;T_CRO_Viktor_Bubanj;4;1954;1970;fighter_tactics;bomber_tactics;centralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31034;Zlatko Rendulic;T_CRO_Zlatko_Rendulic;5;1950;1970;bomber_tactics;piloting;aeronautics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31035;Mato Dukovac;T_CRO_Mato_Dukovac;6;1950;1970;fighter_tactics;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31036;Viktor Pavicic;T_CRO_Viktor_Pavicic;4;1941;1948;small_unit_tactics;large_unit_tactics;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31037;Djuro Dragicevic;T_BOS_Georg_Dragicevic;4;1936;1948;centralized_execution;decentralized_execution;combined_arms_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31038;Ivan Haris;T_CRO_Ivan_Haris;5;1946;1970;small_unit_tactics;decentralized_execution;individual_courage;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31039;Milan Sakic;T_CRO_Milan_Sakic;5;1948;1970;small_unit_tactics;large_unit_tactics;centralized_execution;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31040;Pavle Jaksic;T_CRO_Pavle_Jaksic;5;1948;1970;small_unit_tactics;large_unit_tactics;combined_arms_focus;maneuver_tactics;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31041;Mihajlo Lukic;T_CRO_Mihajlo_Lukic;4;1936;1951;mountain_training;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
